"","Iteration","Seconds"
"609","Mid",2428
"610","Mid",1992
"611","Mid",2464
"612","Mid",2653
"613","Mid",2397
"614","Mid",2191
"615","Mid",2310
"616","Mid",2636
"617","Mid",2354
"618","Mid",2360
"619","Mid",2424
"620","Mid",2514
"621","Mid",2563
"622","Mid",2375
"623","Mid",2541
"624","Mid",2194
"625","Mid",2440
"626","Mid",2572
"627","Mid",2465
"628","Mid",2160
"629","Mid",2326
"630","Mid",2581
"631","Mid",2650
"632","Mid",2380
"633","Mid",1808
"634","Mid",2381
"635","Mid",2130
"636","Mid",2405
"637","Mid",2796
"638","Mid",2493
"639","Mid",2343
"640","Mid",2428
"641","Mid",2622
"642","Mid",2427
"643","Mid",2432
"644","Mid",2183
"645","Mid",2365
"646","Mid",2475
"647","Mid",2327
"648","Mid",2380
"649","Mid",2213
"650","Mid",2520
"651","Mid",2353
"652","Mid",2353
"653","Mid",2465
"654","Mid",2237
"655","Mid",2534
"656","Mid",2579
"657","Mid",2175
"658","Mid",2489
"659","Mid",2545
"660","Mid",2320
"661","Mid",2171
"662","Mid",2627
"663","Mid",2419
"664","Mid",2545
"665","Mid",2229
"666","Mid",2054
"667","Mid",2526
"668","Mid",2424
"669","Mid",2392
"670","Mid",2514
"671","Mid",2582
"672","Mid",2670
"673","Mid",2495
"674","Mid",2172
"675","Mid",2279
"676","Mid",1972
"677","Mid",2350
"678","Mid",2359
"679","Mid",2326
"680","Mid",2030
"681","Mid",2673
"682","Mid",2432
"683","Mid",2480
"684","Mid",2626
"685","Mid",2348
"686","Mid",2060
"687","Mid",2627
"688","Mid",2358
"689","Mid",2445
"690","Mid",2324
"691","Mid",2338
"692","Mid",2535
"693","Mid",2565
"694","Mid",2653
"695","Mid",2581
"696","Mid",2494
"697","Mid",1902
"698","Mid",2583
"699","Mid",2496
"700","Mid",2229
"701","Mid",2324
"702","Mid",2324
"703","Mid",2291
"704","Mid",2540
"705","Mid",2489
"706","Mid",2677
"707","Mid",2191
"708","Mid",2122
"709","Mid",2264
"710","Mid",2425
"711","Mid",2424
"712","Mid",2671
"713","Mid",2394
"714","Mid",2400
"715","Mid",2315
"716","Mid",2235
"717","Mid",2044
"718","Mid",2598
"719","Mid",2654
"720","Mid",2324
"721","Mid",2565
"722","Mid",2355
"723","Mid",2564
"724","Mid",2320
"725","Mid",2478
"726","Mid",2217
"727","Mid",2193
"728","Mid",2350
"729","Mid",2175
"730","Mid",2304
"731","Mid",2415
"732","Mid",2351
"733","Mid",2497
"734","Mid",2467
"735","Mid",2533
"736","Mid",2678
"737","Mid",2155
"738","Mid",2621
"739","Mid",2681
"740","Mid",2474
"741","Mid",2498
"742","Mid",2473
"743","Mid",1859
"744","Mid",2032
"745","Mid",2318
"746","Mid",2153
"747","Mid",2622
"748","Mid",2001
"749","Mid",2003
"750","Mid",2657
"751","Mid",2452
"752","Mid",2002
"753","Mid",2137
"754","Mid",2441
"755","Mid",2057
"756","Mid",2619
"757","Mid",2488
"758","Mid",2003
"759","Mid",2307
"760","Mid",2127
"761","Mid",2028
"762","Mid",2126
"763","Mid",2025
"764","Mid",2697
"765","Mid",2253
"766","Mid",2237
"767","Mid",2405
"768","Mid",2555
"769","Mid",2075
"770","Mid",2112
"771","Mid",2720
"772","Mid",2458
"773","Mid",2307
"774","Mid",2450
"775","Mid",2307
"776","Mid",2643
"777","Mid",2395
"778","Mid",2633
"779","Mid",2738
"780","Mid",2555
"781","Mid",2657
"782","Mid",2691
"783","Mid",2322
"784","Mid",2780
"785","Mid",2183
"786","Mid",2158
"787","Mid",2329
"788","Mid",2629
"789","Mid",2104
"790","Mid",2060
"791","Mid",2403
"792","Mid",2300
"793","Mid",2178
"794","Mid",2346
"795","Mid",2656
"796","Mid",2102
"797","Mid",2186
"798","Mid",2037
"799","Mid",2654
"800","Mid",2163
"801","Mid",2218
"802","Mid",2617
"803","Mid",2617
"804","Mid",2172
"805","Mid",2131
"806","Mid",2071
"807","Mid",2419
"808","Mid",2060
"809","Mid",1999
"810","Mid",2038
"811","Mid",2609
"812","Mid",2044
"813","Mid",2396
"814","Mid",2737
"815","Mid",2410
"816","Mid",2598
"817","Mid",2220
"818","Mid",2633
"819","Mid",2372
"820","Mid",2290
"821","Mid",2276
"822","Mid",2246
"823","Mid",2149
"824","Mid",2173
"825","Mid",2664
"826","Mid",2254
"827","Mid",2359
"828","Mid",2813
"829","Mid",2531
"830","Mid",2447
"831","Mid",1960
"832","Mid",1815
"833","Mid",2813
"834","Mid",2493
"835","Mid",2436
"836","Mid",2290
"837","Mid",1886
"838","Mid",2095
"839","Mid",2575
"840","Mid",2444
"841","Mid",2576
"842","Mid",2183
"843","Mid",1883
"844","Mid",2655
"845","Mid",1883
"846","Mid",2377
"847","Mid",2380
"848","Mid",2044
"849","Mid",2485
"850","Mid",2237
"851","Mid",2149
"852","Mid",2254
"853","Mid",2305
"854","Mid",2072
"855","Mid",2691
"856","Mid",2026
"857","Mid",2213
"858","Mid",2260
"859","Mid",2541
"860","Mid",2042
"861","Mid",2055
"862","Mid",2183
"863","Mid",2520
"864","Mid",2363
"865","Mid",2098
"866","Mid",2163
"867","Mid",1875
"868","Mid",2462
"869","Mid",2192
"870","Mid",2260
"871","Mid",2072
"872","Mid",2302
"873","Mid",2503
"874","Mid",2351
"875","Mid",2456
"876","Mid",2074
"877","Mid",2372
"878","Mid",2250
"879","Mid",2363
"880","Mid",2557
"881","Mid",2387
"882","Mid",2267
"883","Mid",2371
"884","Mid",2080
"885","Mid",2567
"886","Mid",2041
"887","Mid",2268
"888","Mid",1976
"889","Mid",2260
"890","Mid",2579
"891","Mid",2304
"892","Mid",2088
"893","Mid",2155
"894","Mid",2561
"895","Mid",2265
"896","Mid",2037
"897","Mid",2083
"898","Mid",2394
"899","Mid",2382
"900","Mid",2504
"901","Mid",2517
"902","Mid",2274
"903","Mid",2260
"904","Mid",2064
"905","Mid",1975
"906","Mid",2147
"907","Mid",2142
"908","Mid",2265
"909","Mid",2309
"910","Mid",2054
"911","Mid",2261
"912","Mid",2017
"913","Mid",2302
"914","Mid",1919
"915","Mid",1916
"916","Mid",2308
"917","Mid",1939
"918","Mid",2596
"919","Mid",2293
"920","Mid",2212
"921","Mid",2105
"922","Mid",2623
"923","Mid",2417
"924","Mid",2215
"925","Mid",2420
"926","Mid",2512
"927","Mid",2583
"928","Mid",2142
"929","Mid",2473
"930","Mid",2527
"931","Mid",2230
"932","Mid",1750
"933","Mid",1919
"934","Mid",2400
"935","Mid",2332
"936","Mid",2384
"937","Mid",2459
"938","Mid",2112
"939","Mid",2098
"940","Mid",2263
"941","Mid",2300
"942","Mid",2351
"943","Mid",2057
"944","Mid",2393
"945","Mid",2389
"946","Mid",2415
"947","Mid",1750
"948","Mid",2584
"949","Mid",2428
"950","Mid",2439
"951","Mid",2552
"952","Mid",2480
"953","Mid",2442
"954","Mid",2364
"955","Mid",2681
"956","Mid",2511
"957","Mid",2622
"958","Mid",2442
"959","Mid",2479
"960","Mid",2347
"961","Mid",2502
"962","Mid",2681
"963","Mid",2401
